url,producto,variedad,mercado,volumen,calidad,precioMin,precioProm,precioMax,unidad
15/02/2017,Durazno,Doctor Davis,Central Lo Valledor de Santiago,10,Extra (doble especial),151.260,151.260,151.260,$/bins (400 kilos)
15/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,71.000,1a (cosecha),1.008,1.052,1.092,$/paquete 20 unidades (volumen en unidades)
15/02/2017,Durazno,Doctor Davis,Central Lo Valledor de Santiago,34,Primera,109.244,113.198,117.647,$/bins (400 kilos)
15/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,780,1a (guarda),3.109,3.229,3.361,$/malla 18 kilos
15/02/2017,Durazno,Doctor Davis,Central Lo Valledor de Santiago,60,Primera,5.882,5.882,5.882,$/caja 16 kilos empedrada
15/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,910,2a (cosecha),2.353,2.486,2.605,$/malla 18 kilos
15/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,66.000,2a (cosecha),756,802,840,$/paquete 20 unidades (volumen en unidades)
15/02/2017,Durazno,Doctor Davis,Central Lo Valledor de Santiago,12,Segunda,84.034,84.034,84.034,$/bins (400 kilos)
15/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,820,3a (cosecha),2.017,2.155,2.269,$/malla 18 kilos
15/02/2017,Durazno,Doctor Davis,Central Lo Valledor de Santiago,10,Segunda,5.042,5.042,5.042,$/caja 16 kilos empedrada
15/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,61.000,3a (cosecha),504,548,588,$/paquete 20 unidades (volumen en unidades)
15/02/2017,Durazno,Kakamas,Central Lo Valledor de Santiago,8,Especial,126.050,126.050,126.050,$/bins (400 kilos)
15/02/2017,Cebollín,Sin especificar,Central Lo Valledor de Santiago,740,Primera,2.521,2.521,2.521,$/paquete 36 unidades
15/02/2017,Durazno,Kakamas,Central Lo Valledor de Santiago,12,Primera,109.244,109.244,109.244,$/bins (400 kilos)
15/02/2017,Cebollín,Sin especificar,Central Lo Valledor de Santiago,880,Segunda,2.101,2.101,2.101,$/paquete 36 unidades
15/02/2017,Durazno,Phillips Cling,Central Lo Valledor de Santiago,50,Especial,7.563,7.563,7.563,$/caja 16 kilos empedrada
15/02/2017,Choclo,Choclero,Central Lo Valledor de Santiago,65.000,Primera,76,80,84,$/unidad
15/02/2017,Durazno,Phillips Cling,Central Lo Valledor de Santiago,70,Especial,8.403,8.403,8.403,$/caja 16 kilos empedrada
15/02/2017,Choclo,Choclero,Central Lo Valledor de Santiago,47.000,Primera,76,80,84,$/unidad
15/02/2017,Durazno,Phillips Cling,Central Lo Valledor de Santiago,33,Especial,7.983,7.983,7.983,$/caja 18 kilos empedrada
15/02/2017,Choclo,Choclero,Central Lo Valledor de Santiago,25.000,Segunda,67,67,67,$/unidad
15/02/2017,Durazno,Phillips Cling,Central Lo Valledor de Santiago,30,Extra (doble especial),9.244,9.244,9.244,$/caja 16 kilos empedrada
15/02/2017,Choclo,Choclero,Central Lo Valledor de Santiago,25.000,Segunda,67,67,67,$/unidad
15/02/2017,Durazno,Phillips Cling,Central Lo Valledor de Santiago,45,Extra (doble especial),10.084,10.084,10.084,$/caja 16 kilos empedrada
15/02/2017,Choclo,Dulce o Americano,Central Lo Valledor de Santiago,27.000,Primera,84,84,84,$/unidad
15/02/2017,Durazno,Phillips Cling,Central Lo Valledor de Santiago,32,Extra (doble especial),10.084,10.084,10.084,$/caja 18 kilos empedrada
15/02/2017,Ciboulette,Sin especificar,Central Lo Valledor de Santiago,65,Primera,672,672,672,$/docena de atados
15/02/2017,Durazno,Phillips Cling,Central Lo Valledor de Santiago,138,Primera,5.882,5.882,5.882,$/caja 16 kilos empedrada
15/02/2017,Cilantro,Sin especificar,Central Lo Valledor de Santiago,35,Primera,15.966,15.966,15.966,$/docena de atados
15/02/2017,Durazno,Phillips Cling,Central Lo Valledor de Santiago,110,Primera,6.723,6.723,6.723,$/caja 16 kilos empedrada
15/02/2017,Cilantro,Sin especificar,Central Lo Valledor de Santiago,50,Segunda,15.126,15.126,15.126,$/docena de atados
15/02/2017,Durazno,Phillips Cling,Central Lo Valledor de Santiago,16,Primera,6.723,6.723,6.723,$/caja 18 kilos empedrada
15/02/2017,Coliflor,Sin especificar,Central Lo Valledor de Santiago,8.500,Primera,378,398,420,$/unidad
15/02/2017,Durazno,September Sun,Central Lo Valledor de Santiago,88,Especial,7.563,7.563,7.563,$/caja 16 kilos empedrada
15/02/2017,Coliflor,Sin especificar,Central Lo Valledor de Santiago,3.000,Segunda,294,294,294,$/unidad
15/02/2017,Espinaca,Sin especificar,Central Lo Valledor de Santiago,350,Primera,10.924,10.924,10.924,$/cuna 10 kilos
15/02/2017,Durazno,September Sun,Central Lo Valledor de Santiago,70,Extra (doble especial),9.244,9.244,9.244,$/caja 16 kilos empedrada
15/02/2017,Espinaca,Sin especificar,Central Lo Valledor de Santiago,220,Segunda,9.244,9.244,9.244,$/cuna 10 kilos
15/02/2017,Durazno,September Sun,Central Lo Valledor de Santiago,86,Primera,5.882,5.882,5.882,$/caja 16 kilos empedrada
15/02/2017,Durazno,September Sun,Central Lo Valledor de Santiago,60,Segunda,4.622,4.622,4.622,$/caja 16 kilos empedrada
15/02/2017,Lechuga,Conconina(o),Central Lo Valledor de Santiago,1.200,Primera,3.361,3.361,3.361,$/caja 10 unidades
15/02/2017,Lechuga,Conconina(o),Central Lo Valledor de Santiago,250,Segunda,2.101,2.101,2.101,$/caja 15 unidades
