url,producto,variedad,mercado,volumen,calidad,precioMin,precioProm,precioMax,unidad
20/02/2017,Durazno,September Snow,Central Lo Valledor de Santiago,150,Especial,6.723,6.723,6.723,,,$/caja 16 kilos empedrada,$/caja 16 kilos empedrada
20/02/2017,Apio,Americana (o),Central Lo Valledor de Santiago,1.070,Primera,3.782,4.033,4.202,,,$/docena de matas,$/docena de matas
20/02/2017,Durazno,September Snow,Central Lo Valledor de Santiago,120,Extra (doble especial),7.563,7.563,7.563,,,$/caja 16 kilos empedrada,$/caja 16 kilos empedrada
20/02/2017,Apio,Americana (o),Central Lo Valledor de Santiago,530,Segunda,2.101,2.355,2.521,,,$/docena de matas,$/docena de matas
20/02/2017,Durazno,September Snow,Central Lo Valledor de Santiago,60,Primera,5.462,5.462,5.462,,,$/caja 16 kilos empedrada,$/caja 16 kilos empedrada
20/02/2017,Betarraga,Sin especificar,Central Lo Valledor de Santiago,33.000,Primera,67,73,76,,,$/unidad,$/unidad
20/02/2017,Durazno,September Sweet,Central Lo Valledor de Santiago,10,Especial,117.647,117.647,117.647,,,$/bins (400 kilos),$/bins (400 kilos)
20/02/2017,Betarraga,Sin especificar,Central Lo Valledor de Santiago,30.000,Segunda,50,55,59,,,$/unidad,$/unidad
20/02/2017,Durazno,September Sweet,Central Lo Valledor de Santiago,14,Primera,100.840,100.840,100.840,,,$/bins (400 kilos),$/bins (400 kilos)
20/02/2017,Brócoli,Sin especificar,Central Lo Valledor de Santiago,3.500,Primera,420,420,420,,,$/unidad,$/unidad
20/02/2017,Frutilla,Sin especificar,Central Lo Valledor de Santiago,520,Especial,5.462,5.624,5.882,,,$/bandeja 7 kilos,$/bandeja 7 kilos
20/02/2017,Brócoli,Sin especificar,Central Lo Valledor de Santiago,1.500,Segunda,336,336,336,,,$/unidad,$/unidad
20/02/2017,Frutilla,Sin especificar,Central Lo Valledor de Santiago,100,Segunda,2.521,2.731,2.941,,,$/bandeja 7 kilos,$/bandeja 7 kilos
20/02/2017,Cebolla,Morada(o),Central Lo Valledor de Santiago,350,1a (cosecha),6.723,6.723,6.723,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,606,1a amarillo,21.849,22.243,22.689,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Cebolla,Morada(o),Central Lo Valledor de Santiago,280,2a (cosecha),5.882,5.882,5.882,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,1.754,1a plateado,21.008,21.329,21.849,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Cebolla,Morada(o),Central Lo Valledor de Santiago,170,3a (cosecha),4.202,4.202,4.202,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,907,1a plateado,21.008,21.445,21.849,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,1.140,1a (cosecha),2.689,2.797,2.941,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,909,1a plateado,21.008,21.446,21.849,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,74.000,1a (cosecha),1.008,1.053,1.092,,,$/paquete 20 unidades (volumen en unidades),$/paquete 20 unidades (volumen en unidades)
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,257,2a amarillo,19.328,19.704,20.168,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,880,2a (cosecha),2.269,2.406,2.521,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,512,2a plateado,18.487,18.866,19.328,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,69.000,2a (cosecha),756,801,840,,,$/paquete 20 unidades (volumen en unidades),$/paquete 20 unidades (volumen en unidades)
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,311,2a plateado,18.487,18.855,19.328,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,720,3a (cosecha),1.849,1.985,2.101,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,327,2a plateado,18.487,18.852,19.328,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Cebolla,Sin especificar,Central Lo Valledor de Santiago,61.000,3a (cosecha),420,466,504,,,$/paquete 20 unidades (volumen en unidades),$/paquete 20 unidades (volumen en unidades)
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,56,3a amarillo,15.966,16.327,16.807,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Cebollín,Sin especificar,Central Lo Valledor de Santiago,530,Primera,2.521,2.687,2.941,,,$/paquete 36 unidades,$/paquete 36 unidades
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,129,3a plateado,15.126,15.517,15.966,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Cebollín,Sin especificar,Central Lo Valledor de Santiago,560,Segunda,1.681,1.891,2.101,,,$/paquete 36 unidades,$/paquete 36 unidades
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,63,3a plateado,15.126,15.726,15.966,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Choclo,Choclero,Central Lo Valledor de Santiago,43.000,Primera,126,137,151,,,$/unidad,$/unidad
20/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,75,3a plateado,15.126,15.384,15.966,,,$/malla 18 kilos,$/malla 18 kilos
20/02/2017,Choclo,Choclero,Central Lo Valledor de Santiago,50.000,Primera,126,143,168,,,$/unidad,$/unidad
